Title,genres,spoken_languages,production_countries,byline,headline,keywords,word_count,snippet,web_url,pub_date,source
‘To All the Boys: P.S. I Still Love You,nan,nan,nan,By Amy Nicholson,"‘To All the Boys: P.S. I Still Love You’ Review: Bliss, for Now","subject: Movies;persons: Condor, Lana;persons: Centineo, Noah;creative_works: To All the Boys: PS I Still Love You (Movie);persons: Fimognari, Michael;",654.0,The second installment in Netflix’s ’80s-style teen romance trilogy asks the question John Hughes left unanswered.,https://www.nytimes.com/2020/02/11/movies/to-all-the-boys-ps-i-still-love-you-review.html,2020-02-11T18:33:41+0000,The New York Times
‘The Woman Who Loves Giraffes,nan,nan,nan,By Jeannette Catsoulis,‘The Woman Who Loves Giraffes’ Review: Crackers for Animals,"subject: Documentary Films and Programs;subject: Giraffes;creative_works: The Woman Who Loves Giraffes (Movie);persons: Dagg, Anne Innis;persons: Reid, Alison (Filmmaker);",279.0,"This warm documentary uses one woman’s singular passion to fuel a tale of zoological discovery, blatant sexism and environmental alarm.",https://www.nytimes.com/2020/01/09/movies/the-woman-who-loves-giraffes-review.html,2020-01-09T12:00:04+0000,The New York Times
‘Queen & Slim,nan,nan,nan,By A.O. Scott,‘Queen & Slim’ Review: Love on the Run,"subject: Movies;creative_works: Queen & Slim (Movie);persons: Matsoukas, Melina;persons: Waithe, Lena;persons: Kaluuya, Daniel;persons: Turner-Smith, Jodie;",799.0,Daniel Kaluuya and Jodie Turner-Smith star in Melina Matsoukas’s dreamy but intense outlaw romance.,https://www.nytimes.com/2019/11/26/movies/queen-and-slim-review.html,2019-11-26T17:41:50+0000,The New York Times
‘Marriage Story,nan,nan,nan,By A.O. Scott,‘Marriage Story’ Review: Dance Me to the End of Love,"subject: Movies;persons: Baumbach, Noah;creative_works: Marriage Story (Movie);persons: Driver, Adam;persons: Johansson, Scarlett;persons: ALDA, ALAN;persons: Dern, Laura;persons: Liotta, Ray;",1244.0,"Adam Driver and Scarlett Johansson self-consciously uncouple in Noah Baumbach’s tender, stinging tale of divorce.",https://www.nytimes.com/2019/11/05/movies/marriage-story-review.html,2019-11-05T19:01:02+0000,The New York Times
"‘Cyrano, My Love",nan,nan,nan,By Jeannette Catsoulis,"‘Cyrano, My Love’ Review: A Nose for Romance","subject: Movies;creative_works: Cyrano, My Love (Movie);persons: Michalik, Alexis;",291.0,This superficial take on the writing and initial staging of “Cyrano de Bergerac” is a whirlwind of soapy declarations and backstage chaos.,https://www.nytimes.com/2019/10/17/movies/cyrano-my-love-review.html,2019-10-17T11:00:03+0000,The New York Times
‘Pretenders,nan,nan,nan,By Glenn Kenny,"‘Pretenders’ Review: A Little New Wave Love, a Lot of Misogyny","subject: Movies;persons: Franco, James;creative_works: Pretenders (Movie);",276.0,"Directed by James Franco and featuring James Franco, this film indulges in a distasteful brand of nostalgia.",https://www.nytimes.com/2019/10/03/movies/pretenders-review.html,2019-10-03T11:00:07+0000,The New York Times
‘First Love,nan,nan,nan,By Glenn Kenny,‘First Love’ Review: Eluding Assassins With the Help of a Boxer,"subject: Movies;persons: Miike, Takashi;creative_works: First Love (Movie);",398.0,The prolific director Takashi Miike delivers an unusually satisfying Japanese genre romp.,https://www.nytimes.com/2019/09/26/movies/first-love-review.html,2019-09-26T11:00:06+0000,The New York Times
‘Loro,nan,nan,nan,By A.O. Scott,"‘Loro’ Review: A Corrupt Leader, and the People Who Love Him","subject: Movies;creative_works: Loro (Movie);persons: Servillo, Toni;persons: Sorrentino, Paolo;persons: Berlusconi, Silvio;glocations: Italy;",820.0,Toni Servillo plays the former Italian Prime Minister Silvio Berlusconi in Paolo Sorrentino’s extravagant portrait.,https://www.nytimes.com/2019/09/19/movies/loro-review.html,2019-09-19T17:27:07+0000,The New York Times
‘Falling Inn Love,nan,nan,nan,By Helen T. Verongos,‘Falling Inn Love’ Review: A Prize That Needs Some Work,"subject: Movies;organizations: Netflix Inc;persons: Kumble, Roger;persons: Milian, Christina;persons: Demos, Adam;creative_works: Falling Inn Love (Movie);",374.0,"It’s hard to find a reliable, talented, reasonably priced, eco-friendly contractor these days.",https://www.nytimes.com/2019/08/29/movies/falling-inn-love-review.html,2019-08-29T14:56:44+0000,The New York Times
‘Hot Air,nan,nan,nan,By Bilge Ebiri,‘Hot Air’ Review: A Right-Wing Radio Host Learns to Love Again,"subject: Movies;persons: Coogan, Steve;persons: Coraci, Frank;creative_works: Hot Air (Movie);persons: Campbell, Neve;",266.0,Steve Coogan stars in this cumbersome political comedy.,https://www.nytimes.com/2019/08/22/movies/hot-air-review.html,2019-08-22T15:50:09+0000,The New York Times
