Title,genres,spoken_languages,production_countries,byline,headline,keywords,word_count,snippet,web_url,pub_date,source
The Attachment Diaries,"Drama, Mystery, Thriller, Horror",Spanish,Argentina,,nan,,,,,,
What the Peeper Saw,"Horror, Drama, Thriller","English, Italian","Italy, United Kingdom",,nan,,,,,,
You Can Live Forever,"Drama, Romance","English, French","Canada, United States of America",,nan,,,,,,
A Tourists Guide to Love,"Romance, Comedy","English, Vietnamese",United States of America,,nan,,,,,,
Other Peoples Children,"Drama, Comedy","English, French",France,,nan,,,,,,
One True Loves,"Romance, Drama, Comedy",English,"Germany, United States of America",,nan,,,,,,
The Lost Weekend: A Love Story,Documentary,English,United States of America,,nan,,,,,,
A Thousand and One,"Drama, Crime","English, Spanish, Portuguese",United States of America,,nan,,,,,,
Your Place or Mine,"Romance, Comedy",English,United States of America,,nan,,,,,,
Love in the Time of Fentanyl,Documentary,English,"Canada, United States of America",,nan,,,,,,
"Pamela, A Love Story",Documentary,English,United States of America,,nan,,,,,,
In from the Side,"Drama, Romance",English,United Kingdom,,nan,,,,,,
Love After Love,Drama,Mandarin,China,,nan,,,,,,
Alcarràs,Drama,Catalan,Spain,,nan,,,,,,
Nelly and Monsieur Arnaud,"Drama, Romance",French,"Germany, France, Italy",,nan,,,,,,
Lady Chatterleys Lover,"Drama, Romance",French,France,,nan,,,,,,
The Sound of Christmas,"TV Movie, Drama",English,United States of America,,nan,,,,,,
The Inspection,Drama,"Arabic, Spanish, English",United States of America,,nan,,,,,,
Bones and All,"Drama, Horror, Romance",English,"Italy, United States of America",,nan,,,,,,
My Policeman,"Drama, Romance",English,"United Kingdom, United States of America",,nan,,,,,,
About Fate,"Romance, Comedy",English,United States of America,,nan,,,,,,
Waiting for Bojangles,"Drama, Comedy, Romance","French, English","France, United States of America",,nan,,,,,,
I Love My Dad,Comedy,English,United States of America,,nan,,,,,,
A Circus Story & A Love Song,"Romance, Drama","Spanish, English",Mexico,,nan,,,,,,
Alone Together,"Romance, Drama",English,United States of America,,nan,,,,,,
The Art of Love,"Romance, Comedy",French,France,,nan,,,,,,
The Third Wheel,"Comedy, Romance",English,United States of America,,nan,,,,,,
Thor: Love and Thunder,"Fantasy, Action, Comedy",English,United States of America,,nan,,,,,,
Both Sides of the Blade,"Drama, Romance",French,France,,nan,,,,,,
Fire of Love,Documentary,"English, French, Spanish, Portuguese","Canada, United States of America",,nan,,,,,,
Sweet Sex and Love,"Romance, Drama",Korean,South Korea,,nan,,,,,,
Stay Prayed Up,Documentary,,,,nan,,,,,,
Benediction,"Drama, History, War","German, English, French","United Kingdom, United States of America",,nan,,,,,,
Dinner in America,"Comedy, Drama, Music, Romance",English,United States of America,,nan,,,,,,
In a New York Minute,Drama,English,,,nan,,,,,,
Anaïs in Love,"Drama, Romance, Comedy","French, English",France,,nan,,,,,,
I Love America,"Comedy, Romance","French, English",United States of America,,nan,,,,,,
See You Up There,"Drama, Crime, War","Mandarin, French, German","Canada, France",,nan,,,,,,
"Mami, La Moula",Documentary,"Arabic, French",,,nan,,,,,,
In Love and Deep Water,"Romance, Comedy, Mystery, Thriller",Japanese,Japan,,nan,,,,,,
Lucy and Desi,Documentary,English,United States of America,,nan,,,,,,
"Cyrano, My Love","Comedy, History","French, Russian","Belgium, France",,nan,,,,,,
The In Between,"Romance, Science Fiction, Drama",English,United States of America,,nan,,,,,,
American Pie Presents: The Book of Love,Comedy,English,United States of America,,nan,,,,,,
Lingui: The Sacred Bonds,Drama,"Arabic, French","Germany, Belgium, Chad, France",,nan,,,,,,
The Pink Cloud,"Drama, Science Fiction",Portuguese,Brazil,,nan,,,,,,
A Journal for Jordan,"Drama, Romance",English,"Canada, United States of America",,nan,,,,,,
West Side Story,"Crime, Drama, Romance","Spanish, English",United States of America,,nan,,,,,,
Revenge Porn: Love Is Dead,"Drama, Thriller",Japanese,Japan,,nan,,,,,,
Love Hard,"Comedy, Romance",English,United States of America,,nan,,,,,,
Bergman Island,"Drama, Romance","German, English, Swedish","Belgium, France, Germany, Mexico, Sweden",,nan,,,,,,
Hard Luck Love Song,"Romance, Music, Drama, Thriller","English, Spanish",United States of America,,nan,,,,,,
South of Heaven,"Crime, Drama, Thriller",English,"United Kingdom, United States of America",,nan,,,,,,
Wife of a Spy,"Drama, War, Thriller","English, Japanese",Japan,,nan,,,,,,
Happier Than Ever: A Love Letter to Los Angeles,"Music, Documentary",English,United States of America,,nan,,,,,,
Trolls Band Together,"Animation, Family, Music, Fantasy, Comedy",English,"Japan, United States of America",,nan,,,,,,
Annette,"Drama, Romance","English, French","Belgium, France, Germany, Greece, Japan, Mexico, Switzerland",,nan,,,,,,
Resort to Love,"Romance, Comedy",English,United States of America,,nan,,,,,,
"Woodstock 99: Peace, Love, and Rage","Documentary, Music",English,United States of America,,nan,,,,,,
"Casanova, Last Love","Drama, Romance","English, French, German, Italian","Belgium, France, United States of America",,nan,,,,,,
Running Against the Wind,Drama,Amharic,"Ethiopia, Germany",,nan,,,,,,
Clash of Empires: The Battle for Asia,"Action, Adventure","English, Malay, Mandarin",Malaysia,,nan,,,,,,
Undine,"Fantasy, Drama, Romance","English, German, Spanish","France, Germany",,nan,,,,,,
Run This Town,Drama,"French, English",Canada,,nan,,,,,,
I Miss You,"Drama, Romance","Spanish, English","Bolivia, United States of America",,nan,,,,,,
What Happened to Monday,"Science Fiction, Thriller, Drama, Mystery, Action",English,"Belgium, Germany, France, Romania, United Kingdom",,nan,,,,,,
Ride or Die,"Drama, Romance, Thriller","English, Japanese","Japan, United States of America",,nan,,,,,,
Future People: The Family Of Donor 5114,Documentary,English,United States of America,,nan,,,,,,
The Darkness Within La Luz del Mundo,"Documentary, Crime","English, Spanish",Mexico,,nan,,,,,,
Happily Ever After,"Drama, Comedy, Romance",French,France,,nan,,,,,,
This Is the Life,"Documentary, Music",English,United States of America,,nan,,,,,,
To All the Boys: Always and Forever,"Romance, Comedy, Drama","English, Korean",United States of America,,nan,,,,,,
Young Hearts,Drama,Norwegian,Norway,,nan,,,,,,
Little Fish,"Romance, Science Fiction, Drama",English,"Canada, United States of America",,nan,,,,,,
Just the Two of Us,"Thriller, Drama, Romance",French,France,,nan,,,,,,
Aquaman: Heroines of Atlantis,Documentary,,,,nan,,,,,,
Preparations to Be Together for an Unknown Period of Time,Drama,"English, Hungarian",Hungary,,nan,,,,,,
Your Name Engraved Herein,"Romance, Drama","Mandarin, English","Taiwan, United States of America",,nan,,,,,,
20 Rules! For Sylvie,Comedy,,Switzerland,,nan,,,,,,
"ariana grande: excuse me, i love you","Music, Documentary",English,United States of America,,nan,,,,,,
Museum Town,Documentary,English,United States of America,,nan,,,,,,
Wild Mountain Thyme,"Romance, Drama",English,"Ireland, United Kingdom",,nan,,,,,,
My Psychedelic Love Story,Documentary,English,United States of America,,nan,,,,,,
69: The Saga of Danny Hernandez,"Music, Documentary",English,United States of America,,nan,,,,,,
Ammonite,"Romance, Drama",English,United Kingdom,,nan,,,,,,
Love and Monsters,"Comedy, Action, Adventure, Science Fiction",English,United States of America,,nan,,,,,,
Dick Johnson Is Dead,Documentary,English,United States of America,,nan,,,,,,
"Love, Guaranteed","Romance, Comedy",English,United States of America,,nan,,,,,,
Feel the Beat,"Comedy, Music, Drama","English, Turkish","Canada, United States of America",,nan,,,,,,
Babyteeth,"Drama, Comedy, Romance",English,Australia,,nan,,,,,,
Spelling the Dream,Documentary,English,United States of America,,nan,,,,,,
Love Affair: A Secret Affair,"Drama, Romance",Korean,South Korea,,nan,,,,,,
Love Wedding Repeat,"Comedy, Romance","English, Italian","United Kingdom, Italy",,nan,,,,,,
"Comrades, Almost a Love Story","Drama, Romance","Cantonese, Mandarin, English",Hong Kong,,nan,,,,,,
Hope Gap,Drama,English,United Kingdom,,nan,,,,,,
All the Bright Places,"Romance, Drama",English,United States of America,,nan,,,,,,
The Photograph,"Drama, Romance",English,"Canada, United States of America",,nan,,,,,,
You Go To My Head,"Drama, Mystery, Romance, Thriller","English, French","Belgium, France, Germany",,nan,,,,,,
Ordinary Love,"Drama, Romance",English,"Ireland, United Kingdom",,nan,,,,,,
To All the Boys: P.S. I Still Love You,"Romance, Comedy",English,United States of America,,nan,,,,,,
The Woman Who Loves Giraffes,Documentary,,"Canada, South Africa, United States of America",,nan,,,,,,
Queen of Hearts,Drama,"Danish, Swedish","Denmark, Sweden",,nan,,,,,,
Marriage Story,Drama,English,United Kingdom,,nan,,,,,,
Pretenders: Glastonbury 2023,Music,,United Kingdom,,nan,,,,,,
First Love,"Crime, Action, Comedy","Cantonese, Japanese","Japan, United Kingdom",,nan,,,,,,
The last day of Loro Shestani,Drama,Albanian,,,nan,,,,,,
Falling Inn Love,"Romance, Comedy",English,United States of America,,nan,,,,,,
Hot Air,Drama,English,United States of America,,nan,,,,,,
"Love, Antosha",Documentary,"English, Russian",United States of America,,nan,,,,,,
Leto,"Music, Drama",Russian,"France, Russia",,nan,,,,,,
The Tomorrow Man,"Drama, Romance",English,United States of America,,nan,,,,,,
Asako I & II,"Drama, Romance","Japanese, English",Japan,,nan,,,,,,
The Sun Is Also a Star,"Romance, Drama",English,United States of America,,nan,,,,,,
Shéhérazade,"Drama, Thriller, Romance",French,France,,nan,,,,,,
Long Shot,"Comedy, Romance","French, English, Swedish",United States of America,,nan,,,,,,
Claras Summer,"Drama, Romance",French,France,,nan,,,,,,
Kalank,"Drama, Romance",Hindi,India,,nan,,,,,,
Rafiki,"Family, Drama",Norwegian,Norway,,nan,,,,,,
Paradises of Diane,Drama,"English, French, German, Spanish",Switzerland,,nan,,,,,,
Five Feet Apart,"Romance, Drama","Spanish, English, French",United States of America,,nan,,,,,,
Ash Is Purest White,"Crime, Romance, Drama",Mandarin,"France, Japan, China",,nan,,,,,,
Gloria Bell,"Drama, Romance",English,"Chile, United States of America",,nan,,,,,,
Black Mother,Documentary,English,"Jamaica, United States of America",,nan,,,,,,
The Hole in the Ground,Horror,English,"United Kingdom, Finland, Ireland",,nan,,,,,,
How to Train Your Dragon: The Hidden World,"Animation, Family, Adventure",English,United States of America,,nan,,,,,,
A Tuba To Cuba,"Documentary, Music, History",English,"Cuba, United States of America",,nan,,,,,,
Fighting with My Family,Comedy,English,"United Kingdom, United States of America",,nan,,,,,,
Sorry Angel,"Comedy, Drama, Romance","Spanish, French",France,,nan,,,,,,
"Berlin, I Love You",Drama,"English, German","Germany, United States of America",,nan,,,,,,
Untogether,"Comedy, Drama",English,United States of America,,nan,,,,,,
Cold War,"Drama, Romance, War, Music","German, Croatian, French, Italian, Polish, Russian","France, Poland, United Kingdom",,nan,,,,,,
If Beale Street Could Talk,"Romance, Drama",English,United States of America,,nan,,,,,,
Asher,"Thriller, Action, Drama",English,United States of America,,nan,,,,,,
The Slumber Party,"Comedy, Family",English,United States of America,,nan,,,,,,
Freddie Mercury: The Great Pretender,"Music, Documentary",English,United States of America,,nan,,,,,,
Sicilian Ghost Story,"Mystery, Drama, Fantasy",Italian,"France, Italy, Switzerland",,nan,,,,,,
The New Romantic,"Drama, Comedy",English,Canada,,nan,,,,,,
Pimpi,Documentary,Spanish,,,nan,,,,,,
In a Relationship,"Drama, Comedy, Romance",English,"Mexico, United States of America",,nan,,,,,,
They Live,"Science Fiction, Action","English, German",United States of America,,nan,,,,,,
Burning Betrayal,"Romance, Mystery, Drama",Portuguese,Brazil,,nan,,,,,,
After Everything,"Romance, Drama","English, Portuguese",United States of America,,nan,,,,,,
Quincys Quest,"Family, Fantasy, Comedy, TV Movie",English,United Kingdom,,nan,,,,,,
"Love, Gilda",Documentary,English,,,nan,,,,,,
Nothing Like a Dame,Documentary,English,United Kingdom,,nan,,,,,,
Bel Canto,"Drama, Music, Romance, Thriller","Spanish, French, English, Japanese","Mexico, United States of America",,nan,,,,,,
Citizen Jane: Battle for the City,Documentary,English,United States of America,,nan,,,,,,
"Love, Cecil",Documentary,English,United States of America,,nan,,,,,,
How to Talk to Girls at Parties,"Comedy, Music, Romance, Science Fiction",English,"United Kingdom, United States of America",,nan,,,,,,
Rogers Park,,,,,nan,,,,,,
Submergence,"Drama, Thriller, Romance","Arabic, English, French, Somali","United States of America, France, Germany, Spain",,nan,,,,,,
The Outsider,"Action, Crime, Thriller",French,France,,nan,,,,,,
"Love, Simon","Comedy, Drama, Romance",English,United States of America,,nan,,,,,,
Keep the Change,"Comedy, Romance",English,United States of America,,nan,,,,,,
The Housemaid,"Thriller, Drama",Korean,South Korea,,nan,,,,,,
Forever My Girl,"Romance, Drama, Music",English,United States of America,,nan,,,,,,
Kangaroo: A Love-Hate Story,Documentary,English,Australia,,nan,,,,,,
Lover for a Day,"Drama, Romance",French,France,,nan,,,,,,
Saint Seiya: Legend of Crimson Youth,"Action, Animation, Fantasy",Japanese,Japan,,nan,,,,,,
Killing for Love,"Crime, Documentary","English, German","Sweden, Germany, United Kingdom, Netherlands, Denmark",,nan,,,,,,
The Shape of Water,"Drama, Fantasy, Romance","English, Russian",United States of America,,nan,,,,,,
Love Beats Rhymes,"Drama, Music",English,United States of America,,nan,,,,,,
Cuba and the Cameraman,Documentary,"Spanish, English","Cuba, United States of America",,nan,,,,,,
On the Beach at Night Alone,Drama,Korean,South Korea,,nan,,,,,,
Thelma & Louise,"Drama, Thriller, Crime, Adventure",English,"United Kingdom, United States of America",,nan,,,,,,
Hello Again - A Wedding A Day,"Comedy, Romance",German,Germany,,nan,,,,,,
It Happened in L.A.,Comedy,English,,,nan,,,,,,
Godzilla Minus One,"Science Fiction, Horror, Action","Japanese, English",Japan,,nan,,,,,,
The Mountain Between Us,"Drama, Adventure, Romance",English,United States of America,,nan,,,,,,
Dina Hashem: Dark Little Whispers,Comedy,English,,,nan,,,,,,
In Search of Fellini,"Drama, Adventure",English,,,nan,,,,,,
Woodpeckers,Drama,Spanish,Dominican Republic,,nan,,,,,,
I Do... Until I Dont,Comedy,English,United States of America,,nan,,,,,,
Tales of an Immoral Couple,"Comedy, Romance",Spanish,Mexico,,nan,,,,,,
Women Who Kill,"Comedy, Crime, Mystery, Romance, Thriller",English,United States of America,,nan,,,,,,
False Confessions,Documentary,English,"Denmark, United States of America",,nan,,,,,,
The Big Sick,"Comedy, Drama, Romance","English, Urdu",United States of America,,nan,,,,,,
Lost in Paris,Comedy,French,"Belgium, France",,nan,,,,,,
Vincent N Roxxy,"Drama, Crime, Thriller",English,United States of America,,nan,,,,,,
Someday Well Tell Each Other Everything,Drama,German,Germany,,nan,,,,,,
Hounds of Love,"Crime, Drama, Horror",English,Australia,,nan,,,,,,
Harold and Lillian: A Hollywood Love Story,Documentary,English,United States of America,,nan,,,,,,
The Happiest Day in the Life of Olli Mäki,"Drama, Romance","English, Finnish","Germany, Finland, Sweden",,nan,,,,,,
The Promise,"History, Romance, Drama","Armenian, German, English, French","Spain, United States of America",,nan,,,,,,
Frantz,"History, Drama, Romance","German, French","France, Germany",,nan,,,,,,
The Other Half,"Drama, Romance",English,Canada,,nan,,,,,,
The Ottoman Lieutenant,"Romance, Drama, War","Turkish, English","Turkey, United States of America",,nan,,,,,,
Everybody Loves Somebody,"Romance, Comedy","English, Spanish",Mexico,,nan,,,,,,
Kedi,Romance,Tamil,India,,nan,,,,,,
‘The Attachment Diaries,nan,nan,nan,By Jeannette Catsoulis,"‘The Attachment Diaries’ Review: Love, Sick","subject: Movies;creative_works: The Attachment Diaries (Movie);persons: Diment, Valentin Javier;",295.0,"A gynecologist and her patient form a horrifyingly twisted connection in this batty, bloody Argentine melodrama.",https://www.nytimes.com/2023/05/25/movies/the-attachment-diaries-review.html,2023-05-25T11:00:03+0000,The New York Times
‘What,nan,nan,nan,By Jeannette Catsoulis,Review: ‘What’s Love Got to Do With It?’ Probably a Lot,"subject: Movies;persons: Kapur, Shekhar;persons: James, Lily;persons: Azmi, Shabana;persons: Thompson, Emma;",287.0,Two childhood friends navigate cultural differences in this pleasantly uncontentious romantic comedy.,https://www.nytimes.com/2023/05/04/movies/whats-love-got-to-do-with-it-review.html,2023-05-04T17:16:45+0000,The New York Times
‘You Can Live Forever,nan,nan,nan,By Elisabeth Vincentelli,‘You Can Live Forever’ Review: Do You Love Me Now?,"subject: Movies;creative_works: You Can Live Forever (Movie);persons: Slutsky, Mark;persons: Watts, Sarah (Film Director);persons: O'Driscoll, Anwen;persons: Laporte, June (Actor);",294.0,Religion comes between two girls falling in love in the 1990s in this sweet coming-of-age film bathed in grunge hues.,https://www.nytimes.com/2023/05/04/movies/you-can-live-forever-review.html,2023-05-04T11:00:08+0000,The New York Times
‘A Tourist,nan,nan,nan,By Elisabeth Vincentelli,‘A Tourist’s Guide to Love’ Review: A Wearyingly Familiar Trip,"subject: Movies;creative_works: A Tourist's Guide to Love (Movie);persons: Tsuchida, Steven;persons: Cook, Rachael Leigh;",276.0,Rachael Leigh Cook stars in this bland rom-com as a travel executive exploring Vietnam and getting over a breakup.,https://www.nytimes.com/2023/04/21/movies/a-tourists-guide-to-love-review.html,2023-04-21T07:03:25+0000,The New York Times
‘Other People,nan,nan,nan,By Manohla Dargis,‘Other People’s Children’ Review: True Romance,"subject: Movies;persons: Zlotowski, Rebecca;creative_works: Other People's Children (Movie);",801.0,"A radiant Virginie Efira stars as a Parisian teacher who blissfully falls for a man and his 4-year-old daughter, complicating everyone’s lives.",https://www.nytimes.com/2023/04/20/movies/other-peoples-children-review.html,2023-04-20T15:35:13+0000,The New York Times
‘One True Loves,nan,nan,nan,By Brandon Yu,‘One True Loves’ Review: A Romance Lost at Sea,"subject: Movies;persons: Bracey, Luke (1989- );persons: Liu, Simu;persons: Reid, Taylor Jenkins;persons: Soo, Phillipa;persons: Fickman, Andy;creative_works: One True Loves (Movie);",320.0,"A film adaptation of Taylor Jenkins Reid’s novel has potential for drama, but it stumbles on stock melodrama.",https://www.nytimes.com/2023/04/13/movies/one-true-loves-movie-review.html,2023-04-13T11:00:06+0000,The New York Times
‘The Lost Weekend: A Love Story,nan,nan,nan,By Glenn Kenny,‘The Lost Weekend: A Love Story’ Review: When John Lennon Strayed,"subject: Documentary Films and Programs;creative_works: The Lost Weekend: A Love Story (Movie);persons: Pang, May;persons: Lennon, John;persons: Ono, Yoko;persons: Brandstein, Eve;persons: Kaufman, Richard S (Filmmaker);persons: Samuels, Stuart (Filmmaker);subject: Content Type: Personal Profile;subject: Pop and Rock Music;",327.0,"There’s not much Lennon music heard in this doc about his affair with May Pang, and given how much Pang trashes his wife, Yoko Ono, it’s no surprise it was withheld.",https://www.nytimes.com/2023/04/13/movies/the-lost-weekend-a-love-story-review.html,2023-04-13T11:00:03+0000,The New York Times
‘A Thousand and One,nan,nan,nan,By Manohla Dargis,‘A Thousand and One’ Review: A New York Love Story,"subject: Movies;creative_works: A Thousand and One (Movie);persons: Rockwell, AV (Film Director);persons: Taylor, Teyana (1990- );",971.0,"A mesmerizing Teyana Taylor stars in A.V. Rockwell’s feature directing debut, about motherhood and survival in a fast-changing city.",https://www.nytimes.com/2023/03/30/movies/a-thousand-and-one-review.html,2023-03-30T18:53:42+0000,The New York Times
‘Your Place or Mine,nan,nan,nan,By Amy Nicholson,‘Your Place or Mine’ Review: Try Neither,"subject: Movies;creative_works: Your Place or Mine (Movie);persons: Witherspoon, Reese;persons: Kutcher, Ashton;persons: McKenna, Aline Brosh;",569.0,This humdrum Netflix romantic comedy features Reese Witherspoon and Ashton Kutcher as longtime friends with possibly hidden feelings for each other.,https://www.nytimes.com/2023/02/09/movies/your-place-or-mine-review.html,2023-02-10T00:00:05+0000,The New York Times
‘Love in the Time of Fentanyl,nan,nan,nan,By Concepción de León,"‘Love in the Time of Fentanyl’ Review: Heartbreak, Death and Hope in Vancouver","subject: Documentary Films and Programs;subject: Fentanyl;subject: Drug Abuse and Traffic;subject: Volunteers and Community Service;creative_works: Love in the Time of Fentanyl (Movie);persons: Askey, Colin;glocations: Vancouver (British Columbia);organizations: Overdose Prevention Society;",306.0,"To combat the overdose crisis, a group that includes former and current users open a safe consumption site where shooting up does not have to mean death.",https://www.nytimes.com/2023/02/02/movies/love-in-the-time-of-fentanyl-review.html,2023-02-02T12:00:11+0000,The New York Times
"‘Pamela, a Love Story",nan,nan,nan,By Glenn Kenny,"‘Pamela, a Love Story’ Review: A Frank Look Back","subject: Documentary Films and Programs;persons: Anderson, Pamela (1967- );persons: White, Ryan (Filmmaker);creative_works: Pamela, a Love Story (Movie);",295.0,"This documentary from Ryan White rewinds, to powerful effect, on Pamela Anderson’s life and fame.",https://www.nytimes.com/2023/01/31/movies/pamela-a-love-story-review.html,2023-01-31T12:00:05+0000,The New York Times
‘In From the Side,nan,nan,nan,By Kyle Turner,‘In From the Side’ Review: Love and Rugby Play a Losing Game,"subject: Movies;creative_works: In From the Side (Movie);persons: Carter, Matt (Filmmaker);",281.0,"In Matt Carter’s gay rugby film, sports and romance smash together like two players from opposing teams.",https://www.nytimes.com/2023/01/19/movies/in-from-the-side-review.html,2023-01-19T17:50:16+0000,The New York Times
‘After Love,nan,nan,nan,By Beatrice Loayza,‘After Love’ Review: The Other Woman,"subject: Movies;creative_works: After Love (2020) (Movie);persons: Khan, Aleem;persons: Scanlan, Joanna (1961- );",359.0,"In this intelligent melodrama by the director Aleem Khan, a British woman discovers her husband has been leading a double life.",https://www.nytimes.com/2023/01/19/movies/after-love-review.html,2023-01-19T12:00:06+0000,The New York Times
‘After Love,nan,nan,nan,By Glenn Kenny,Review: Staying Together ‘After Love’ and Regretting Every Moment,"subject: Movies;creative_works: After Love (Movie);persons: Lafosse, Joachim;persons: Bejo, Berenice;persons: Kahn, Cedric;",274.0,"A couple break up, but remain together, frustratingly, because of the husband’s financial woes.",https://www.nytimes.com/2017/08/08/movies/after-love-review.html,2017-08-08T19:17:54+0000,The New York Times
‘Alcarràs,nan,nan,nan,By Devika Girish,‘Alcarràs’ Review: Labor of Love,"subject: Movies;persons: Simon, Carla;creative_works: Alcarras (Movie);",306.0,"In this naturalistic drama from Spain, a family confronts the impending loss of its generations-old farm.",https://www.nytimes.com/2023/01/05/movies/alcarras-review.html,2023-01-05T12:00:03+0000,The New York Times
‘Nelly & Nadine,nan,nan,nan,By Teo Bugbee,"‘Nelly & Nadine’ Review: An Unlikely Love, an Unlikely Record","subject: Documentary Films and Programs;persons: Gertten, Magnus;creative_works: Nelly & Nadine (Movie);subject: Content Type: Personal Profile;subject: Holocaust and the Nazi Era;subject: World War II (1939-45);subject: Women and Girls;subject: Homosexuality and Bisexuality;",308.0,A family archive provides intimate records of a love affair that began between two women imprisoned in the Ravensbrück concentration camp.,https://www.nytimes.com/2022/12/15/movies/nelly-and-nadine-review.html,2022-12-15T12:00:04+0000,The New York Times
‘Lady Chatterley,nan,nan,nan,By A.O. Scott,‘Lady Chatterley’s Lover’ Review: When Connie Met Ollie,"subject: Movies;creative_works: Lady Chatterley's Lover (Movie);persons: Corrin, Emma (1995- );persons: De Clermont-Tonnerre, Laure;persons: Lawrence, D H;",768.0,The new Netflix adaptation of D.H. Lawrence’s once-controversial novel is both steamy and decorous.,https://www.nytimes.com/2022/12/01/movies/lady-chatterleys-lover-review.html,2022-12-01T16:40:55+0000,The New York Times
‘The Sound of Christmas,nan,nan,nan,By Concepción de León,‘The Sound of Christmas’ Review: A Gospel Singer Finds Love,"subject: Movies;persons: Ne-Yo;creative_works: The Sound of Christmas (Movie);persons: Mattison, Booker T;persons: McNeill, Serayah;",277.0,A young singer gets more than she bargained for when she accepts a job as a nanny for a billionaire’s children.,https://www.nytimes.com/2022/11/23/movies/sound-of-christmas-review.html,2022-11-23T15:00:09+0000,The New York Times
‘The Inspection,nan,nan,nan,By A.O. Scott,"‘The Inspection’ Review: Boot Camp, a Love Story","subject: Movies;creative_works: The Inspection (Movie);persons: Bratton, Elegance;",836.0,"Elegance Bratton’s autobiographical first feature is a lyrical, wrenching look at a young Marine’s journey through basic training.",https://www.nytimes.com/2022/11/17/movies/the-inspection-review-boot-camp-a-love-story.html,2022-11-17T12:00:07+0000,The New York Times
‘Bones and All,nan,nan,nan,By A.O. Scott,‘Bones and All’ Review: You Eat What You Are,"subject: Movies;creative_works: Bones and All (Movie);persons: Guadagnino, Luca;persons: Chalamet, Timothee (1995- );persons: Russell, Taylor (1994- );",710.0,Luca Guadagnino’s latest stars Timothée Chalamet and Taylor Russell as young cannibals on the run.,https://www.nytimes.com/2022/11/17/movies/bones-and-all-review.html,2022-11-17T12:00:06+0000,The New York Times
‘My Policeman,nan,nan,nan,By Teo Bugbee,"‘My Policeman’ Review: Two Love Affairs, Equally Tragic","subject: Movies;creative_works: My Policeman (Movie);persons: Grandage, Michael;",303.0,"A schoolteacher, her police officer husband and his lover deny each other romantic satisfaction in this dismal melodrama.",https://www.nytimes.com/2022/10/20/movies/my-policeman-review.html,2022-10-20T16:52:51+0000,The New York Times
‘About Fate,nan,nan,nan,By Lisa Kennedy,‘About Fate’ Review: Love the One You’re With?,"subject: Movies;creative_works: About Fate (Movie);persons: Vaysberg, Marius;persons: Mann, Thomas (1991- );persons: Roberts, Emma (1991- );",289.0,"Thomas Mann’s beguiling performance drives this Emma Roberts vehicle, but the romantic comedy creaks under the weight of its coincidences.",https://www.nytimes.com/2022/09/08/movies/about-fate-review.html,2022-09-09T01:00:03+0000,The New York Times
‘Waiting for Bojangles,nan,nan,nan,By Calum Marsh,‘Waiting for Bojangles’ Review: Endless Love,"subject: Movies;persons: Bourdeaut, Olivier;creative_works: Waiting for Bojangles (Movie);persons: Roinsard, Regis;",267.0,"Set in Paris in the 1960s, the film tells the story of two irrepressible lovers, and their young son, whose tale turns tragic.",https://www.nytimes.com/2022/09/01/movies/waiting-for-bojangles-review-endless-love.html,2022-09-01T11:00:06+0000,The New York Times
‘I Love My Dad,nan,nan,nan,By Glenn Kenny,‘I Love My Dad’ Review: A Father Catfishes His Son,"subject: Movies;persons: Oswalt, Patton;creative_works: I Love My Dad (Movie);persons: Morosini, James;",418.0,This comedy is a daddy-issues movie with a queasy premise truly made for these times.,https://www.nytimes.com/2022/08/04/movies/i-love-my-dad-review.html,2022-08-04T11:00:05+0000,The New York Times
‘A Love Song,nan,nan,nan,By Jeannette Catsoulis,‘A Love Song’ Review: When Moving Forward Means Looking Back,"subject: Movies;creative_works: A Love Song (Movie);persons: Walker-Silverman, Max;persons: Dickey, Dale (Actor);persons: STUDI, WES;",395.0,Two former childhood friends rekindle their connection in this sweetly hopeful story of romantic longing.,https://www.nytimes.com/2022/07/28/movies/a-love-song-review.html,2022-07-28T11:00:06+0000,The New York Times
‘Alone Together,nan,nan,nan,By Teo Bugbee,‘Alone Together’ Review: Finding Love in a Pandemic Retreat,"subject: Movies;persons: Holmes, Katie;creative_works: Alone Together (Movie);",254.0,"Katie Holmes writes, directs and stars in this minor-key rom-com set in 2020.",https://www.nytimes.com/2022/07/21/movies/alone-together-review.html,2022-07-21T15:37:18+0000,The New York Times
‘Art of Love,nan,nan,nan,By Concepción de León,‘Art of Love’ Review: An Erotic Male Fantasy in Puerto Rico,"subject: Movies;creative_works: Art of Love (Movie);persons: Kaplan, Betty (Film Director);",354.0,"A disillusioned college professor develops a relationship with a young Chinese woman, in a familiar and worn-out narrative.",https://www.nytimes.com/2022/07/21/movies/art-of-love-review.html,2022-07-21T13:21:43+0000,The New York Times
‘The Wheel,nan,nan,nan,By Nicolas Rapold,‘The Wheel’ Review: Songs of Love and Hate,"subject: Movies;creative_works: The Wheel (Movie);persons: Pink, Steve;",287.0,"In this marriage drama, a young couple heads to the countryside to break out of a toxic cycle.",https://www.nytimes.com/2022/07/21/movies/the-wheel-review.html,2022-07-21T11:00:08+0000,The New York Times
